STABILITY ANALYSIS (30 RUNS) FOR GREY WOLF OPTIMIZER (GWO)
=========================================
Best Fitness (MAPE): 11.604454%
Worst Fitness (MAPE): 11.604721%
Mean Fitness (MAPE): 11.604476%
Standard Deviation (MAPE): 0.000050%

RINGKASAN PARAMETER STATISTIK OPTIMASI:
| Parameter Statistik | Nilai Fitness (MAPE) | Bobot w1 (MA) | Bobot w2 (ES) | Bobot w3 (LR) |
|---------------------|----------------------|---------------|---------------|----------------|
| Terbaik             |           11.604454% |      0.640969 |      0.359031 |       0.000000 |
| Terburuk            |           11.604721% |      0.640842 |      0.358955 |       0.000203 |
| Rata-rata           |           11.604476% |      0.640967 |      0.359019 |       0.000014 |
| Std. Deviation      |            0.000050% |      0.000039 |      0.000029 |       0.000038 |

Best Run Weights:
  w1 (MA): 0.640969
  w2 (ES): 0.359031
  w3 (LR): 0.000000

Average Weights Across All Runs:
  w1 (MA): 0.640967 (std: 0.000039)
  w2 (ES): 0.359019 (std: 0.000029)
  w3 (LR): 0.000014 (std: 0.000038)

Runs Performance Details Table:
| Run | n (wolf) | iteration |   MAPE (%)   |      w1      |      w2      |      w3      |
|-----|----------|-----------|--------------|--------------|--------------|--------------|
|   1 |       20 |       100 |     11.6047% |       0.6408 |       0.3590 |       0.0002 |
|   2 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|   3 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|   4 |       20 |       100 |     11.6045% |       0.6409 |       0.3591 |       0.0000 |
|   5 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|   6 |       20 |       100 |     11.6045% |       0.6409 |       0.3591 |       0.0001 |
|   7 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|   8 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|   9 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  10 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  11 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  12 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  13 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  14 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  15 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  16 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  17 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  18 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  19 |       20 |       100 |     11.6045% |       0.6409 |       0.3591 |       0.0000 |
|  20 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  21 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  22 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  23 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  24 |       20 |       100 |     11.6045% |       0.6409 |       0.3590 |       0.0000 |
|  25 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  26 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  27 |       20 |       100 |     11.6045% |       0.6409 |       0.3591 |       0.0000 |
|  28 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  29 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
|  30 |       20 |       100 |     11.6045% |       0.6410 |       0.3590 |       0.0000 |
